,Year,Item,Unit.x,ha,Unit.y,gt,gt_ha,,,,
73,2006,Cropland organic soils,ha,15044289.71,gigatons,0.629635316,4.19E-08,,,,
74,2007,Cropland organic soils,ha,15144221.79,gigatons,0.637466034,4.21E-08,,,,
75,2008,Cropland organic soils,ha,15213543.86,gigatons,0.643083702,4.23E-08,,,,
76,2009,Cropland organic soils,ha,15260812.77,gigatons,0.64665893,4.24E-08,,,,
77,2010,Cropland organic soils,ha,15362401.24,gigatons,0.653165457,4.25E-08,,,,
78,2011,Cropland organic soils,ha,15450908.31,gigatons,0.658423733,4.26E-08,,,,
79,2012,Cropland organic soils,ha,15553945.8,gigatons,0.662762477,4.26E-08,,,,
80,2013,Cropland organic soils,ha,15576611.53,gigatons,0.664492577,4.27E-08,,,,
81,2014,Cropland organic soils,ha,15636415.33,gigatons,0.668882793,4.28E-08,,,,
82,2015,Cropland organic soils,ha,15634117.73,gigatons,0.668691443,4.28E-08,,,,
83,2016,Cropland organic soils,ha,15634117.73,gigatons,0.668691443,4.28E-08,,,,
84,2017,Cropland organic soils,ha,15599882.51,gigatons,0.668691443,4.29E-08,,,,
,,,,,,,,,,,
